model,k,precision,recall,mrr,f1,time_sec
MiniLM-L6-v2,1,0.9333,0.2103,0.9333,0.2996,2.9
MiniLM-L6-v2,3,0.6444,0.329,0.9333,0.3733,2.9
MiniLM-L6-v2,5,0.5333,0.4053,0.9333,0.3973,2.9
MiniLM-L6-v2,10,0.46,0.6825,0.9444,0.4715,2.9
MPNet-base-v2,1,0.8667,0.2677,0.8667,0.349,5.8
MPNet-base-v2,3,0.6889,0.4348,0.9333,0.4403,5.8
MPNet-base-v2,5,0.5467,0.5089,0.9333,0.4385,5.8
MPNet-base-v2,10,0.4533,0.6988,0.9333,0.475,5.8
BGE-small-en,1,1.0,0.2769,1.0,0.3663,2.2
BGE-small-en,3,0.6889,0.4004,1.0,0.4161,2.2
BGE-small-en,5,0.6,0.5414,1.0,0.4742,2.2
BGE-small-en,10,0.4933,0.7226,1.0,0.508,2.2
TF-IDF,1,0.6667,0.1147,0.6667,0.1839,0.1
TF-IDF,3,0.5111,0.2039,0.6889,0.2662,0.1
TF-IDF,5,0.5067,0.3257,0.7022,0.3616,0.1
TF-IDF,10,0.4533,0.6769,0.7312,0.4678,0.1
BM25,1,0.7333,0.1222,0.7333,0.1974,0.0
BM25,3,0.6,0.3065,0.8333,0.3451,0.0
BM25,5,0.5467,0.4074,0.8333,0.4036,0.0
BM25,10,0.4267,0.6451,0.8444,0.4394,0.0
