model,k,mode,precision,recall,mrr,f1
MiniLM-L6-v2,1,baseline,0.7333,0.0116,0.7333,0.0227
MiniLM-L6-v2,3,baseline,0.6,0.0227,0.7667,0.043
MiniLM-L6-v2,5,baseline,0.5867,0.0405,0.7933,0.0732
MiniLM-L6-v2,10,baseline,0.52,0.0736,0.7933,0.1204
MiniLM-L6-v2,15,baseline,0.5067,0.1097,0.7933,0.1644
MiniLM-L6-v2,1,topic_filtered,0.7333,0.0116,0.7333,0.0227
MiniLM-L6-v2,3,topic_filtered,0.5556,0.0215,0.7333,0.0407
MiniLM-L6-v2,5,topic_filtered,0.5733,0.0394,0.7767,0.0711
MiniLM-L6-v2,10,topic_filtered,0.5,0.0734,0.7767,0.1184
MiniLM-L6-v2,15,topic_filtered,0.4933,0.1057,0.7767,0.1585
MPNet-base-v2,1,baseline,0.9333,0.0169,0.9333,0.0329
MPNet-base-v2,3,baseline,0.7556,0.0384,0.9333,0.071
MPNet-base-v2,5,baseline,0.6667,0.0523,0.9333,0.0929
MPNet-base-v2,10,baseline,0.6067,0.0911,0.9333,0.1481
MPNet-base-v2,15,baseline,0.5733,0.1245,0.9333,0.1889
MPNet-base-v2,1,topic_filtered,0.9333,0.0169,0.9333,0.0329
MPNet-base-v2,3,topic_filtered,0.7556,0.0384,0.9333,0.071
MPNet-base-v2,5,topic_filtered,0.64,0.051,0.9333,0.0903
MPNet-base-v2,10,topic_filtered,0.6067,0.0923,0.9333,0.15
MPNet-base-v2,15,topic_filtered,0.5467,0.1168,0.9333,0.1782
BGE-small-en,1,baseline,0.7333,0.0146,0.7333,0.0283
BGE-small-en,3,baseline,0.6889,0.0382,0.8,0.0703
BGE-small-en,5,baseline,0.6533,0.0564,0.8167,0.0996
BGE-small-en,10,baseline,0.5867,0.0953,0.8167,0.1521
BGE-small-en,15,baseline,0.56,0.1287,0.8167,0.1922
BGE-small-en,1,topic_filtered,0.7333,0.0146,0.7333,0.0283
BGE-small-en,3,topic_filtered,0.6889,0.0382,0.8,0.0703
BGE-small-en,5,topic_filtered,0.6533,0.0573,0.8167,0.1012
BGE-small-en,10,topic_filtered,0.5733,0.0932,0.8167,0.1486
BGE-small-en,15,topic_filtered,0.5333,0.1231,0.8167,0.1835
TF-IDF,1,baseline,0.7333,0.0125,0.7333,0.0244
TF-IDF,3,baseline,0.6,0.0309,0.7667,0.0568
TF-IDF,5,baseline,0.6267,0.0526,0.8,0.0927
TF-IDF,10,baseline,0.5133,0.0794,0.8,0.1273
TF-IDF,15,baseline,0.5156,0.1833,0.8051,0.1812
TF-IDF,1,topic_filtered,0.8,0.0136,0.8,0.0266
TF-IDF,3,topic_filtered,0.6222,0.0315,0.8,0.058
TF-IDF,5,topic_filtered,0.6533,0.0538,0.8333,0.095
TF-IDF,10,topic_filtered,0.5333,0.0872,0.8333,0.1381
TF-IDF,15,topic_filtered,0.52,0.1949,0.8394,0.1932
BM25,1,baseline,0.8,0.0136,0.8,0.0266
BM25,3,baseline,0.7333,0.1043,0.8667,0.1027
BM25,5,baseline,0.64,0.1178,0.8667,0.1125
BM25,10,baseline,0.6133,0.1653,0.8762,0.1701
BM25,15,baseline,0.5556,0.1952,0.8762,0.1997
BM25,1,topic_filtered,0.8,0.0136,0.8,0.0266
BM25,3,topic_filtered,0.7333,0.1043,0.8667,0.1027
BM25,5,topic_filtered,0.68,0.1227,0.8667,0.1213
BM25,10,topic_filtered,0.6,0.1655,0.8762,0.1699
BM25,15,topic_filtered,0.5556,0.2007,0.8762,0.2052
