model,k,mode,precision,recall,mrr,f1
MiniLM-L6-v2,1,profession_filtered,0.0667,0.0009,0.0667,0.0018
MiniLM-L6-v2,3,profession_filtered,0.0222,0.0009,0.0667,0.0017
MiniLM-L6-v2,5,profession_filtered,0.0267,0.0036,0.0833,0.0061
MiniLM-L6-v2,10,profession_filtered,0.0133,0.0036,0.0833,0.0054
MiniLM-L6-v2,15,profession_filtered,0.0089,0.0036,0.0833,0.0048
MPNet-base-v2,1,profession_filtered,0.0667,0.0009,0.0667,0.0018
MPNet-base-v2,3,profession_filtered,0.0222,0.0009,0.0667,0.0017
MPNet-base-v2,5,profession_filtered,0.0267,0.0036,0.08,0.0061
MPNet-base-v2,10,profession_filtered,0.0133,0.0036,0.08,0.0054
MPNet-base-v2,15,profession_filtered,0.0089,0.0036,0.08,0.0048
BGE-small-en,1,profession_filtered,0.0667,0.0009,0.0667,0.0018
BGE-small-en,3,profession_filtered,0.0222,0.0009,0.0667,0.0017
BGE-small-en,5,profession_filtered,0.0267,0.0036,0.08,0.0061
BGE-small-en,10,profession_filtered,0.0133,0.0036,0.08,0.0054
BGE-small-en,15,profession_filtered,0.0089,0.0036,0.08,0.0048
TF-IDF,1,profession_filtered,0.1333,0.0036,0.1333,0.0069
TF-IDF,3,profession_filtered,0.0444,0.0036,0.1333,0.0065
TF-IDF,5,profession_filtered,0.0267,0.0036,0.1333,0.0061
TF-IDF,10,profession_filtered,0.0133,0.0036,0.1333,0.0054
TF-IDF,15,profession_filtered,0.0089,0.0036,0.1333,0.0048
BM25,1,profession_filtered,0.0667,0.0009,0.0667,0.0018
BM25,3,profession_filtered,0.0222,0.0009,0.0667,0.0017
BM25,5,profession_filtered,0.0267,0.0036,0.08,0.0061
BM25,10,profession_filtered,0.0133,0.0036,0.08,0.0054
BM25,15,profession_filtered,0.0089,0.0036,0.08,0.0048
