URL,Type,Needed
General Roles and Responsibilities of the Professions,Docs,Y
https://www.ncsbn.org/nursing-regulation/practice/substance-use-disorder/opioid-toolkit.page,Website,N
https://www.cdc.gov/mmwr/volumes/71/rr/rr7103a1.htm,Website,Y
https://www.cdc.gov/overdose-prevention/hcp/clinical-guidance/recommendations-and-principles.html,HTML,Y
https://library.samhsa.gov/sites/default/files/overdose-prevention-response-kit-pep23-03-00-001.pdf,PDF,Y
https://pcssnow.org/,Website,N
https://www.oregonpainguidance.org/wp-content/uploads/2020/06/13.-CDC-Why-Guidelines-for-Primary-Care-Providers.pdf,PDF,Y
https://iris.who.int/bitstream/handle/10665/137462/9789241548816_eng.pdf?sequence=1&isAllowed=y,PDF,Y
https://www.cms.gov/Outreach-and-Education/MLN/WBT/MLN3390633-OMH-LGBTQ/OMHLGBTQ/sogi/LGBTQI/LGBTQI/index.html,HTML,N
https://www.thenationalcouncil.org/resources/2024-ccbhc-impact-report/,Website / PDF,Y
https://www.samhsa.gov/data/sites/default/files/reports/rpt45341/2022-nsduh-older-adult-info.pdf,PDF,Y
https://dam.assets.ohio.gov/image/upload/mha.ohio.gov/AboutUs/MediaCenter/PublicationsandFactSheets/Ohio-2018-Action-Guide-to-Address-Opioid-Abuse.pdf,PDF,Y
https://www.asam.org/docs/default-source/quality-science/a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.pdf,PDF,Y
https://spokane.wsu.edu/opioid-education/,Website,Y
https://www.casn.ca/wp-content/uploads/2020/07/Interprofessional-Guidelines-for-Opioid-Use.pdf,PDF,Y
https://www.thenationalcouncil.org/wp-content/uploads/2025/03/25.03.14_WSP-Call-To-Action.pdf,PDF,Y
https://www.aha.org/opioids,Website,N
Overdose Prevention and Response Toolkit | SAMHSA Publications and Digital Products,Website / PDF,Y
https://www.thenationalcouncil.org/resources/,Website,Y
Arguments in favour of compulsory treatment of opioid dependence,Website / PDF,Y
"Voluntary treatment, not detention, in the management of opioid dependence",Website / PDF,Y
Why Guidelines for Primary Care Providers?,PDF,Y
14104_Community Management of Opioid Overdose,Website / PDF,Y
https://www.samhsa.gov/about/digital-toolkits/recovery-month,Website,N
https://nashp.org/behavioral-health-system-modernization-comprehensive-approaches-and-cross-cutting-tools/,Website,Y
2024 CCBHC Impact Report,Website / PDF,Y
2021-2022 Older Adult Behavioral Health | CBHSQ Data,Website / PDF,Y
Ohio-2018-Action-Guide-to-Address-Opioid-Abuse.pdf,PDF,Y
a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.pdf,PDF,Y
a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.pdf,PDF,Y
https://opioidresponsenetwork.org/resources/,Website,N
https://ctiph.uahs.arizona.edu/ipe-events/ipe-events-academic-year-list/opioid-use-disorders,Website,N
https://integrationacademy.ahrq.gov/resources/6596,Website,N
https://pmc.ncbi.nlm.nih.gov/articles/PMC6401330/,Website,Y
Interprofessional-Guidelines-for-Opioid-Use.pdf,PDF,Y
https://pcssnow.org/medications-for-opioid-use-disorder/,Website,N
