URL,Type,Needed
General Roles and Responsibilities of the Professions,Docs,Y
https://www.cdc.gov/mmwr/volumes/71/rr/rr7103a1.htm,Website,Y
https://www.cdc.gov/overdose-prevention/about/understanding-the-opioid-overdose-epidemic.html,Website,Y
https://www.cdc.gov/overdose-resources/pdf/ORRP-External-Training-One-Pager_508.pdf,PDF,Y
https://www.samhsa.gov/libraries/evidence-based-practices-resource-center,Website,N
https://www.hhs.gov/sites/default/files/opioid-epidemic-practical-toolkit-35001-dhhs.pdf,PDF,N
https://www.thenationalcouncil.org/resources/,Website,Y
https://www.samhsa.gov/about/digital-toolkits/recovery-month,Website,N
https://library.samhsa.gov/product/2023-nsduh-report/pep24-07-021,Website,N
https://iris.who.int/server/api/core/bitstreams/66b902c1-77e3-4971-adaf-71551b3995b9/content,PDF,Y
https://iris.who.int/server/api/core/bitstreams/c90bc3f4-3468-485b-a3e2-88472ce5108e/content,PDF,Y
https://pmc.ncbi.nlm.nih.gov/articles/PMC6401330/,Website,Y
https://www.thenationalcouncil.org/resources/2024-ccbhc-impact-report/,Website / PDF,Y
Ohio-2018-Action-Guide-to-Address-Opioid-Abuse.pdf,PDF,Y
https://www.chcs.org/resource/a-federally-qualified-health-center-and-certified-community-behavioral-health-clinic-partnership-in-rural-missouri/,Website,Y
https://bettercareplaybook.org/a-model-for-compassionate-and-accessible-mental-health-and-substance-use-care-certified-community-behavioral-health-clinics/,Website,Y
https://www.campusdrugprevention.gov/,Website,N
https://www.medicaid.gov/federal-policy-guidance/downloads/mh-sud-med-chip-enrol-expncg-hmles.pdf,PDF,Y
https://www.chcs.org/resource-center/community-member-engagement-resource-center/,PDF,Y
https://www.thenationalcouncil.org/resources/conversation-paths-to-support-loved-ones/,Website / PDF,Y
https://www.milbank.org/publications/defining-the-state-role-in-primary-care-reform/,Website,Y
https://www.chcs.org/media/Designing-a-Health-Related-Social-Needs-Strategy-in-Medicaid-State-Considerations.pdf,PDF,Y
https://www.recoveryanswers.org/research-post/does-access-fun-activities-support-addiction-recovery-2/,Website,Y
https://nida.nih.gov/research-topics/trends-statistics/overdose-death-rates,Website,Y
https://www.medicaid.gov/federal-policy-guidance/downloads/faq06052024.pdf,PDF,Y
https://www.urban.org/urban-wire/five-facts-debunk-myths-about-opioid-crisis,Website,Y
https://www.naatp.org/resources/news/naatp-research-foundation-releases-report-revealing-addiction-treatment-outcomes/may,Website,N
https://www.urban.org/sites/default/files/2024-05/Guide_to_Equity_in_Behavioral_Health_Care.pdf,PDF,Y
https://www.thenationalcouncil.org/resources/,Website,N
https://www.pew.org/en/research-and-analysis/issue-briefs/2024/05/how-states-use-opioid-use-disorder-treatment-measures-to-inform-decision-making,Website,Y
https://nhchc.org/wp-content/uploads/2024/01/Healing-Hands-for-January-2024.pdf,PDF,Y
https://library.samhsa.gov/sites/default/files/medicaid-coverage-reverse-overdose-pep22-06-01-009.pdf,PDF,Y
https://www.chcs.org/resource/medicaid-opportunities-to-improve-health-care-access-and-quality-for-lgbtq-communities/,Website,Y
https://www.samhsa.gov/about/advisory-councils/acws/maternal-health,Website,N
https://www.samhsa.gov/data/report/nsduh-2022-highlighted-population-slides,Website,N
https://www.lac.org/resource/opioid-settlement-grants-for-cbos,Website,Y
https://library.samhsa.gov/product/overdose-prevention-response-toolkit/pep23-03-00-001,Website,N
