method,target_tokens,k,hit_rate,avg_first_hit_rank,avg_query_latency_ms,num_chunks,chunk_build_time_s,index_build_time_s,avg_chunk_tokens,p95_chunk_tokens
fixed,3000,3,0.7333333333333333,1.4545454545454546,0.0819047292073567,66,0.0814826488494873,3.052696943283081,2684.0,3000.0
fixed,3000,5,0.7333333333333333,1.4545454545454546,0.0789801279703776,66,0.0814826488494873,3.052696943283081,2684.0,3000.0
fixed,3000,7,0.8666666666666667,2.230769230769231,0.0840346018473307,66,0.0814826488494873,3.052696943283081,2684.0,3000.0
fixed,3000,9,0.8666666666666667,2.230769230769231,0.078137715657552,66,0.0814826488494873,3.052696943283081,2684.0,3000.0
fixed_overlap,3000,3,0.5333333333333333,1.625,0.0916322072347005,76,0.1442809104919433,3.9907419681549072,2804.5263157894738,3000.0
fixed_overlap,3000,5,0.5333333333333333,1.625,0.1147905985514323,76,0.1442809104919433,3.9907419681549072,2804.5263157894738,3000.0
fixed_overlap,3000,7,0.5333333333333333,1.625,0.1099904378255208,76,0.1442809104919433,3.9907419681549072,2804.5263157894738,3000.0
fixed_overlap,3000,9,0.6,2.4444444444444446,0.115203857421875,76,0.1442809104919433,3.9907419681549072,2804.5263157894738,3000.0
recursive,3000,3,0.6666666666666666,1.5,0.1062393188476562,71,0.1586253643035888,3.4928457736968994,2495.281690140845,2977.0
recursive,3000,5,0.7333333333333333,1.818181818181818,0.1204649607340494,71,0.1586253643035888,3.4928457736968994,2495.281690140845,2977.0
recursive,3000,7,0.7333333333333333,1.818181818181818,0.0988642374674479,71,0.1586253643035888,3.4928457736968994,2495.281690140845,2977.0
recursive,3000,9,0.8,2.333333333333333,0.1024246215820312,71,0.1586253643035888,3.4928457736968994,2495.281690140845,2977.0
semantic,3000,3,0.4666666666666667,1.4285714285714286,0.1058578491210937,180,65.66332721710205,8.31298828125,984.3277777777778,1127.65
semantic,3000,5,0.4666666666666667,1.4285714285714286,0.09613037109375,180,65.66332721710205,8.31298828125,984.3277777777778,1127.65
semantic,3000,7,0.5333333333333333,2.0,0.0940958658854166,180,65.66332721710205,8.31298828125,984.3277777777778,1127.65
semantic,3000,9,0.5333333333333333,2.0,0.0821908315022786,180,65.66332721710205,8.31298828125,984.3277777777778,1127.65
sentence_pack,3000,3,0.7333333333333333,1.4545454545454546,0.0894387563069661,69,0.2474095821380615,3.2947182655334477,2567.5942028985505,2972.0
sentence_pack,3000,5,0.8,1.75,0.0784715016682942,69,0.2474095821380615,3.2947182655334477,2567.5942028985505,2972.0
sentence_pack,3000,7,0.8666666666666667,2.076923076923077,0.0814278920491536,69,0.2474095821380615,3.2947182655334477,2567.5942028985505,2972.0
sentence_pack,3000,9,0.8666666666666667,2.076923076923077,0.0675519307454427,69,0.2474095821380615,3.2947182655334477,2567.5942028985505,2972.0
fixed,5000,3,0.6666666666666666,1.3,0.5173842112223307,43,0.098055362701416,2.20462703704834,4119.627906976744,5000.0
fixed,5000,5,0.7333333333333333,1.5454545454545454,0.0649293263753255,43,0.098055362701416,2.20462703704834,4119.627906976744,5000.0
fixed,5000,7,0.8,2.0,0.0765641530354817,43,0.098055362701416,2.20462703704834,4119.627906976744,5000.0
fixed,5000,9,0.8666666666666667,2.4615384615384617,0.0722726186116536,43,0.098055362701416,2.20462703704834,4119.627906976744,5000.0
fixed_overlap,5000,3,0.8,1.5,0.0895977020263671,49,0.1426618099212646,2.479795455932617,4288.65306122449,5000.0
fixed_overlap,5000,5,0.8,1.5,0.0917593638102213,49,0.1426618099212646,2.479795455932617,4288.65306122449,5000.0
fixed_overlap,5000,7,0.8,1.5,0.0984350840250651,49,0.1426618099212646,2.479795455932617,4288.65306122449,5000.0
fixed_overlap,5000,9,0.8666666666666667,2.076923076923077,0.097354253133138,49,0.1426618099212646,2.479795455932617,4288.65306122449,5000.0
recursive,5000,3,0.6666666666666666,1.5,0.105905532836914,46,0.1299006938934326,2.286592960357666,3851.130434782609,4930.25
recursive,5000,5,0.6666666666666666,1.5,0.0857353210449218,46,0.1299006938934326,2.286592960357666,3851.130434782609,4930.25
