Role,Parsed File,
"Nurse, Physician Assistant, Public Health Professional, PharmD",CDC-Clinical-Practice-Guideline-for-Prescribing-Opioids-for-Pain-United-States.txt,
Nurse,SAMHSA-Overdose-Prevention-and-Response-Toolkit.txt,
"Medical Social Worker, Nurse",Behavioral-Health-among-Older-Adults-Results-from-the-2021-and-2022-National-Surveys-on-Drug-Use-and-Health.txt,
Nurse,Workforce-Solutions-Partnership.txt,
Nurse,Guideline-Recommendations-and-Guiding-Principles.txt,
Nurse,CMS-Cross-Cutting-Initiative-Behavioral-Health.txt,
"Nurse, Physician Assistant",Why-Guidelines-for-Primary-Care-Providers.txt,
"Nurse, Medical Social Worker, Public Health Professional",a-drug-court-team-member's-guide-to-medication-in-addiction-treatment.txt,
"Nurse, Medical Social Worker",a-drug-court-clinician's-guide-for-linking-people-to-opioid-treatment-services.txt,
"Nurse, Public Health Professional, Physician Assistant, Medical Social Worker",OPIOIDS-Cultivating-Interprofessional-Collaboration-to-Find-Solutions-to-Public-Health-Problems.txt,
Nurse,Interprofessional-Guidelines-for-Opioid-Use.txt,
Public Health Professional,Opioid-Rapid-Response-Program-Online-Training.txt,
Public Health Professional,opioid-epidemic-practical-toolkit-35001-dhhs.txt,
Public Health Professional,Curbing-prescription-opioid-dependency.txt,
"Public Health Professional, Nurse",2024-ccbhc-impact-report.txt,
"Public Health Professional, Nurse",Ohio-2018-Action-Guide-to-Address-Opioid-Abuse.txt,
Public Health Professional,CIB-on-Opportunities-to-Address-MH-and-SUD-Needs-of-Homeless-Individuals.txt,
Public Health Professional,Engaging-Community-Members-in-Medicaid-Policy-and-Program-Design.txt,
Public Health Professional,Designing-a-Health-Related-Social-Needs-Strategy-in-Medicaid-State-Considerations (1).txt,
Public Health Professional,Frequently-Asked-Questions-on-Medicaid-and-CHIP-Coverage-of-Peer-Support-Services.txt,
Public Health Professional,Medicaid-Coverage-of-Medications-to-Reverse-Opioid-Overdose-and-Treat-Alcohol-and-Opioid-Use-Disorders-Report.txt,
Physician Assistant,Cancer-pain-relief.txt,
Physician Assistant,Drug-Abuse-Warning-Network-Alcohol-Related-ED-Visits-Short-Report.txt,
Medical Social Worker,Basic-Coding-for-Integrated-BH.txt,
"Medical Social Worker, Public Health Professional",Conversation-Paths-for-Loved-Ones.txt,
"Medical Social Worker, Public Health Professional",Guide-to-Equity-in-Behavioral-Health-Care.txt,
"Medical Social Worker, Public Health Professional",Healing-Hands-for-January-2024.txt,
Medical Social Worker,LGBTQIA-Glossary-of-Terms-for-Health-Care-Teams.txt,
General,Arguments-against-the-compulsory-treatment-of-opioid-dependence.txt,
General,Opioid-substitution-improving-cost–efficiency.txt,
General,Guidelines-for-the-psychosocially-assisted-pharmacological-treatment-of-opioid-dependence.txt,
"General, Nurse",Arguments-in-favour-of-compulsory-treatment-of-opioid-dependence,
"General, Nurse",Voluntary-treatment-not-detention-in-the-management-of-opioid-dependence.txt,
"PharmD, Physician Assistant",Guide-to-Equity-in-Pharmacy-Services.txt,
PharmD,Opportunities-to-Promote-Medications-for-Opioid-Use-Disorder-in-Federally-Qualified-Health-Centers.txt,
"PharmD, Physician Assistant, General",Extended-release and long-acting opioid medications.txt,only half
"PharmD, Physician Assistant, General",Opioid-substitution-therapy-in-resource-poor-settings.txt,
"PharmD, Physician Assistant, General",Opioid-overdose-trends-risk-factors-interventions-and-priorities-for-action.txt,
"PharmD, Physician Assistant, General",Do-national-drug-control-laws-ensure-the-availability-of-opioids-for-medical-and-scientific-purposes.txt,
"PharmD, General",Advocates-need-to-show-compulsory-treatment-of-opioid-dependence-is-effective.txt,
"PharmD, General",Scaling-up-opioid-dependence-treatment-in-low--and-middle-income-settings.txt,
"PharmD, General",Operational-guidelines-for-the-management-of-opioid-dependence-in-the-South-East-Asia-Region.txt,
"PharmD, Physician Assistant, General",Narcotic-and-psychotropic-drugs.txt,
"PharmD, Physician Assistant, General",The-Uses-of-methadone-in-the-treatment-and-management-of-opioid-dependence.txt,
"PharmD, Physician Assistant, General",An-aid-to-prescribing-narcotics-for-the-relief-of-cancer-pain.txt,
