Role,URL,Web URL,Parsed File
"Public Health Professional, Physician Assistant",https://www.chcs.org/resource/a-federally-qualified-health-center-and-certified-community-behavioral-health-clinic-partnership-in-rural-missouri/,https://www.chcs.org/resource/a-federally-qualified-health-center-and-certified-community-behavioral-health-clinic-partnership-in-rural-missouri/,a-federally-qualified-health-center-and-certified-community-behavioral-health-clinic-partnership-in-rural-missouri.txt
"Public Health Professional, Medical Medical Social Workerer",https://bettercareplaybook.org/a-model-for-compassionate-and-accessible-mental-health-and-substance-use-care-certified-community-behavioral-health-clinics/,https://bettercareplaybook.org/a-model-for-compassionate-and-accessible-mental-health-and-substance-use-care-certified-community-behavioral-health-clinics/,a-model-for-compassionate-and-accessible-mental-health-and-substance-use-care.txt
Physical Therapist,https://drugfree.org/article/alternatives-to-opioids/,https://drugfree.org/article/alternatives-to-opioids/,Alternatives-to-Opioids.txt
Medical Social Worker,https://www.aacnnursing.org/cvweb/cgi-bin/eventsdll.dll/EventInfo?sessionaltcd=WF18_08_30&WRP=webinarinfo.htm,https://www.aacnnursing.org/cvweb/cgi-bin/eventsdll.dll/EventInfo?sessionaltcd=WF18_08_30&WRP=webinarinfo.htm,An-IPE-Approach-to-the-Opioid-Epidemic.txt
"General, Medical Social Worker",Behavioral Health System Modernization along the Continuum - NASHP,https://nashp.org/behavioral-health-system-modernization-along-the-continuum/,behavioral-health-system-modernization-along-the-continuum.txt
Nurse,https://nashp.org/behavioral-health-system-modernization-comprehensive-approaches-and-cross-cutting-tools/,https://nashp.org/behavioral-health-system-modernization-comprehensive-approaches-and-cross-cutting-tools/,behavioral-health-system-modernization-comprehensive-approaches-and-cross-cutting-tools.txt
Physical Therapist,https://www.cdc.gov/overdose-prevention/hcp/clinical-care/nonopioid-therapies-for-pain-management.html?utm_,https://www.cdc.gov/overdose-prevention/hcp/clinical-care/nonopioid-therapies-for-pain-management.html?utm_,clinical-care/nonopioid-therapies-for-pain-management.txt
Public Health Professional,https://www.milbank.org/publications/defining-the-state-role-in-primary-care-reform/,https://www.milbank.org/publications/defining-the-state-role-in-primary-care-reform/,Defining-the-State-Role-in-Primary-Care-Reform.txt
Physician Assistant,https://nida.nih.gov/news-events/news-releases/2024/07/doctors-reluctant-to-treat-addiction-most-commonly-report-lack-of-institutional-support-as-barrier,https://nida.nih.gov/news-events/news-releases/2024/07/doctors-reluctant-to-treat-addiction-most-commonly-report-lack-of-institutional-support-as-barrier,Doctors-reluctant-to-treat-addiction-most-commonly-report-lack-of-institutional-support-as-barrier.txt
"Public Health Professional, Physician Assistant, Medical Social Worker",https://www.recoveryanswers.org/research-post/does-access-fun-activities-support-addiction-recovery-2/,https://www.recoveryanswers.org/research-post/does-access-fun-activities-support-addiction-recovery-2/,does-access-fun-activities-support-addiction-recovery.txt
Physician Assistant,https://www.fda.gov/news-events/press-announcements/fda-approves-first-nalmefene-hydrochloride-auto-injector-reverse-opioid-overdose,https://www.fda.gov/news-events/press-announcements/fda-approves-first-nalmefene-hydrochloride-auto-injector-reverse-opioid-overdose,FDA-Approves-First-Nalmefene-Hydrochloride-Auto-Injector-to-Reverse-Opioid-Overdose.txt
